   time      numb     lati     long      area       tilt
19740103     312    -15.42     42.06     249.0      -22.24
19740110     314      6.45    310.25     294.0        3.76
19740112     316    -10.27    246.20     231.0       33.41
19740114     317    -14.73    216.99      88.0      -20.28
19740115     318      8.83    251.49       5.0       21.15
19740117     320    -17.14    193.53     214.0       21.41
19740117     321    -12.60    172.89     215.0       14.49
19740115     323      8.66    258.80      49.0      -27.48
19740115     324    -16.85    179.96      11.0       74.56
19740118     326    -10.76    236.99       3.0      -83.39
19740118     330     13.54    211.84       1.0       -3.12
19740122     331      4.07    197.10      94.0        2.14
19740119     332     14.47    176.41       9.0      -20.13
19740130     339     16.80     57.66      15.0      -19.51
19740209     346      9.08    213.27       7.0       44.39
19740210     347    -16.35    202.14     219.0       23.36
19740223     348    -16.73    136.64     149.0       15.48
19740216     349    -12.83    232.20     155.0        3.46
19740213     351     -8.53    212.92       8.0       15.07
19740219     352    -18.48    150.92     475.0       12.78
19740217     353     -6.68    173.82       6.0      -89.58
19740226     355     12.87     20.80      15.0       11.22
19740227     356      7.34      0.83      32.0       -7.39
19740228     357      4.53    331.34      49.0        5.90
19740227     358     10.86      9.74      20.0       -1.09
19740306     360     11.34    250.67      58.0       18.95
19740309     361      4.15    224.18      19.0       51.88
19740312     362      0.65    244.34     210.0        2.84
19740312     363    -16.62    157.21      40.0       -6.83
19740314     364    -19.80    148.11      14.0       26.66
19740316     365     -2.23    120.24      10.0      -15.97
19740318     366    -13.03    174.20       8.0      -40.84
19740317     367    -15.23    119.42       4.0      -77.83
19740320     368     -8.15     54.01     149.0       -2.85
19740323     371     14.92    111.82     105.0      -12.18
19740330     372      7.17     40.74     135.0      -15.02
19740401     373    -11.49    287.82      29.0      -21.30
19740407     374     12.45    258.66     176.0       30.66
19740414     375    -12.96    187.20    1182.0        1.03
19740407     376    -17.24    269.63       4.0       48.09
19740411     377     -4.74    217.29      78.0       17.13
19740416     379    -13.58    165.82     354.0       18.59
19740419     380     -8.65     55.97      11.0       42.76
19740415     382      7.82    182.06      14.0        7.78
19740415     383     -9.07    185.12     528.0       -2.99
19740419     384    -13.18    125.44     288.0        7.73
19740419     385     -9.24    120.03     112.0       12.72
19740421     386      2.01    101.80      15.0       22.96
19740425     387     -8.43    351.23     154.0       14.89
19740509     390     -2.12    226.11     150.0      -21.58
19740503     392     -7.20    204.05     318.0        7.94
19740503     393    -12.95    191.72     543.0        5.81
19740502     394      6.64    300.24     103.0       14.49
19740508     395     -8.97    193.54      62.0       26.19
19740502     396      7.20    229.91       6.0      -13.12
19740504     397      4.29    272.68      63.0       -3.51
19740510     399    -12.82    172.77     114.0      -71.53
